Date,kospi,kosdaq,gold_fut_132030,Bond_273130
2020. 1. 2 오후 3:30:00,2175.17,674.02,10845,108215
2020. 1. 3 오후 3:30:00,2176.46,669.93,11000,108565
2020. 1. 6 오후 3:30:00,2155.07,655.31,11245,108745
2020. 1. 7 오후 3:30:00,2175.54,663.44,11180,108400
2020. 1. 8 오후 3:30:00,2151.31,640.94,11360,108270
2020. 1. 9 오후 3:30:00,2186.45,666.09,11055,107980
2020. 1. 10 오후 3:30:00,2206.39,673.03,11035,107760
2020. 1. 13 오후 3:30:00,2229.26,679.22,11080,107695
2020. 1. 14 오후 3:30:00,2238.88,678.71,10975,107860
2020. 1. 15 오후 3:30:00,2230.98,679.16,11060,108020
2020. 1. 16 오후 3:30:00,2248.05,686.52,11060,108015
2020. 1. 17 오후 3:30:00,2250.57,688.41,11075,107830
2020. 1. 20 오후 3:30:00,2262.64,683.47,11140,107775
2020. 1. 21 오후 3:30:00,2239.69,676.52,11155,108040
2020. 1. 22 오후 3:30:00,2267.25,688.25,11050,107995
2020. 1. 23 오후 3:30:00,2246.13,685.57,11080,107970
2020. 1. 28 오후 3:30:00,2176.72,664.7,11250,108450
2020. 1. 29 오후 3:30:00,2185.28,670.18,11160,108585
2020. 1. 30 오후 3:30:00,2148,656.39,11225,108810
2020. 1. 31 오후 3:30:00,2119.01,642.48,11210,108795
