사업코드,시군구읍면동 명칭,공사시 생활폐기물 발생량,운영시 생활폐기물 발생량,생활폐기물 발생량,건설폐기물 처리현황_매립,건설폐기물 처리현황_소각,건설폐기물 처리현황_재활용,사업장배출시설계 폐기물의 처리 현황_매립,사업장배출시설계 폐기물의 처리 현황_소각,사업장배출시설계 폐기물의 처리 현황_재활용,사업장배출시설계 폐기물의 처리 현황_해역배출,사업장 지정 폐기물의 처리 현황_매립,사업장 지정 폐기물의 처리 현황_소각,사업장 지정 폐기물의 처리 현황_재활용,사업장 지정 폐기물의 처리 현황_기타,생성일,수정일,사용여부
JJ2005E006,진안군,56.25,0,23200,,,,,0.5,13.7,,,,,,,,Y
JJ2005E006,임실군,56.25,0,23000,,,,0.1,0.6,14.9,6,,,,,,,Y
WJ2005E011,원주시,19.2,0,342800,,,,,,,,,,,,,,Y
ME2006E007,홍천군,120,1487.6,50300,19.3,24.3,415.1,,,,,,,,,,,Y
ME2006E007,인제군,120,1487.6,41900,20.8,1.3,254.4,,,,,,,,,,,Y
WJ2007E001,강릉시,19.5,0,295100,,,,,,,,,,,,,,Y
YS2007E002,장흥군,19.35,1.43,27500,,0.5,214.5,2.6,1,7.9,,,22.5,183.6,,,,Y
ME2007E010,인천광역시,260.2,154.212,2213000,712.9,60.1,7461.2,,,,,,,,,,,Y
ME2007E010,김포시,260.2,154.212,181600,26.6,0.3,959.2,,,,,,,,,,,Y
HG2007E009,용인시,16.66,7.08,586300,,29.1,2796.8,66.6,44.6,196.6,85.9,,,,,,,Y
ND2007E004,마산시,13.92,0,446000,,,,,,,,,,,,,,Y
ND2007E004,함안군,13.92,0,36400,,,,,,,,,,,,,,Y
YS2004E006,제주시,30.5,0,447000,0.1,,461,,,,,,,,,,,Y
YS2006E007,나주시,164,0,42000,,0.1,277.3,,,,,43.6,3367.9,1467.3,,,,Y
YS2006E007,무안군,164,0,43900,4.6,2.8,373,,,,,42.5,55.3,237.8,,,,Y
DG2007E003,포항시,31.3,0,633100,377.2,11.9,3668.6,390.7,215.2,18269.7,53.1,58900.4,15596.4,151191.2,912.1,,,Y
DG2007E003,경주시,31.3,0,262000,9.8,5.2,883.4,19.6,32.6,204.1,51.9,5109.7,4411.2,5522.8,794.9,,,Y
ME2007E008,광주시,49.7,2007.1,186700,2,0.5,491.7,,,,,1014,1001.2,3311.6,205.7,,,Y
ME2007E008,여주군,49.7,2007.1,69800,4.4,1.1,544.3,,,,,,323.6,726.2,6.1,,,Y
ME2007E008,양평군,49.7,2007.1,59500,,,1589.2,,,,,10,2252.9,529.5,2123.6,,,Y
ME2007E008,원주시,49.7,2007.1,384900,,1,694.5,,,,,3015.7,4778,14721.8,4086.6,,,Y
ND2008E002,창원시,140,55.5,514400,9.8,3.8,1598.2,284.3,377.4,1308.2,22.8,18250.4,17530,57366.6,1704.8,,,Y
